○　	日,か　
○うけいき	好景気,こうけいき
○うけいもんじ	象形文字,しょうけいもんじ
○うけぐち	儲け口,もうけぐち
○うけし	帳消し,ちょうけし
○うけしごと	もうけ仕事,もうけしごと
○うけっさん	総決算,そうけっさん
○うけつ	凝結,ぎょうけつ	凝血,ぎょうけつ	膏血,こうけつ	高潔,こうけつ	豪傑,ごうけつ	終結,しゅうけつ	集結,しゅうけつ	充血,じゅうけつ	猖獗,しょうけつ	増結,ぞうけつ	凍結,とうけつ	洞穴,どうけつ	氷結,ひょうけつ	表決,ひょうけつ	評決,ひょうけつ	要訣,ようけつ	流血,りゅうけつ
○うけつき	吸血鬼,きゅうけつき
○うけむり	夕煙,ゆうけむり
○うけもの	儲けもの,もうけもの
○うける	見受ける,みうける	設ける,もうける	儲ける,もうける
○うけん	強健,きょうけん	強権,きょうけん	狂犬,きょうけん	後見,こうけん	効験,こうけん	貢献,こうけん	剛健,ごうけん	合憲,ごうけん	集権,しゅうけん	銃剣,じゅうけん	商圏,しょうけん	証券,しょうけん	条件,じょうけん	創建,そうけん	創見,そうけん	壮健,そうけん	総見,そうけん	送検,そうけん	中堅,ちゅうけん	刀剣,とうけん	闘犬,とうけん	同権,どうけん	謬見,びゅうけん	封建,ほうけん	冒険,ぼうけん	猛犬,もうけん	郵券,ゆうけん	用件,ようけん	要件,ようけん	了見,りょうけん	料簡,りょうけん	猟犬,りょうけん
○うげ	香華,こうげ	高下,こうげ	上下,じょうげ	象牙,ぞうげ	峠,とうげ
○うげい	工芸,こうげい	送迎,そうげい	農芸,のうげい	遊芸,ゆうげい
○うげき	急激,きゅうげき	旧劇,きゅうげき	挾撃,きょうげき	空隙,くうげき	攻撃,こうげき	襲撃,しゅうげき	衝撃,しょうげき	砲撃,ほうげき	遊撃,ゆうげき
○うげきしゅ	遊撃手,ゆうげきしゅ
○うげしき	夕景色,ゆうげしき
○うげん	給源,きゅうげん	狂言,きょうげん	光源,こうげん	公言,こうげん	広言,こうげん	高原,こうげん	高言,こうげん	祝言,しゅうげん	証言,しょうげん	上弦,じょうげん	草原,そうげん	雑言,ぞうげん	増減,ぞうげん	中元,ちゅうげん	忠言,ちゅうげん	桃源,とうげん	氷原,ひょうげん	表現,ひょうげん	病原,びょうげん	放言,ほうげん	方言,ほうげん	暴言,ぼうげん	幽玄,ゆうげん	有限,ゆうげん	流言,りゅうげん
○うげんきん	病原菌,びょうげんきん
○うげんたい	病原体,びょうげんたい
○うこ	往古,おうこ	強固,きょうこ	凝固,ぎょうこ	後顧,こうこ	公庫,こうこ	好個,こうこ	江湖,こうこ	称呼,しょうこ	証拠,しょうこ	上古,じょうこ	倉庫,そうこ	中古,ちゅうこ	入庫,にゅうこ	宝庫,ほうこ	蒙古,もうこ	牢乎,ろうこ
○うこう	横行,おうこう	王侯,おうこう	休校,きゅうこう	休講,きゅうこう	急行,きゅうこう	旧交,きゅうこう	凶行,きょうこう	強硬,きょうこう	強行,きょうこう	恐慌,きょうこう	教皇,きょうこう	行幸,ぎょうこう	僥倖,ぎょうこう	空港,くうこう	こうこう,こうこう	口腔,こうこう	孝行,こうこう	航行,こうこう	高校,こうこう	煌々,こうこう	周航,しゅうこう	就航,しゅうこう	修好,しゅうこう	重厚,じゅうこう	銃口,じゅうこう	商工,しょうこう	商港,しょうこう	将校,しょうこう	小康,しょうこう	昇降,しょうこう	消光,しょうこう	消耗,しょうこう	焼香,しょうこう	上皇,じょうこう	乗降,じょうこう	情交,じょうこう	条項,じょうこう	崇高,すうこう	そうこう,そうこう	壮行,そうこう	奏効,そうこう	操行,そうこう	草稿,そうこう	装甲,そうこう	中興,ちゅうこう	忠孝,ちゅうこう	兆候,ちょうこう	朝貢,ちょうこう	聴講,ちょうこう	通行,つうこう	登校,とうこう	刀工,とうこう	投稿,とうこう	投降,とうこう	陶工,とうこう	どうこう,どうこう	動向,どうこう	同好,どうこう	同行,どうこう	瞳孔,どうこう	入校,にゅうこう	入港,にゅうこう	入貢,にゅうこう	濃厚,のうこう	農工,のうこう	農耕,のうこう	農高,のうこう	標高,ひょうこう	風光,ふうこう	奉公,ほうこう	放校,ほうこう	方向,ほうこう	芳香,ほうこう	咆哮,ほうこう	彷徨,ほうこう	暴行,ぼうこう	膀胱,ぼうこう	友好,ゆうこう	有効,ゆうこう	洋行,ようこう	要港,ようこう	要綱,ようこう	要項,ようこう	陽光,ようこう	流行,りゅうこう	良好,りょうこう	良港,りょうこう	老巧,ろうこう	陋巷,ろうこう
○うこうか	急降下,きゅうこうか	流行歌,りゅうこうか
○うこうぎょう	重工業,じゅうこうぎょう	商工業,しょうこうぎょう
○うこうげき	総攻撃,そうこうげき
○うこうご	流行語,りゅうこうご
○うこうしゃく	公侯爵,こうこうしゃく
○うこうせん	等高線,とうこうせん
○うこうぜい	通行税,つうこうぜい
○うこうねつ	猩紅熱,しょうこうねつ
○うこうびょう	流行病,りゅうこうびょう
○うこうや	好々爺,こうこうや
○うこうろ	熔鉱炉,ようこうろ
○うこがく	考古学,こうこがく
○うこく	王国,おうこく	急告,きゅうこく	救国,きゅうこく	峡谷,きょうこく	強国,きょうこく	興国,こうこく	公告,こうこく	広告,こうこく	抗告,こうこく	皇国,こうこく	小国,しょうこく	生国,しょうこく	上告,じょうこく	相剋,そうこく	忠告,ちゅうこく	彫刻,ちょうこく	超克,ちょうこく	通告,つうこく	同国,どうこく	入国,にゅうこく	報告,ほうこく	報国,ほうこく	亡国,ぼうこく	憂国,ゆうこく	夕刻,ゆうこく	両国,りょうこく
○うこくしん	上告審,じょうこくしん
○うこそ	ようこそ,ようこそ
○うこつ	硬骨,こうこつ	恍惚,こうこつ	納骨,のうこつ
○うこりもなく	しょうこりもなく,しょうこりもなく
○うこん	求婚,きゅうこん	球根,きゅうこん	商魂,しょうこん	招魂,しょうこん	早婚,そうこん	爪痕,そうこん	痛恨,つうこん	当今,とうこん	闘魂,とうこん	雄渾,ゆうこん
○うご	救護,きゅうご	交互,こうご	口語,こうご	向後,こうご	豪語,ごうご	銃後,じゅうご	正午,しょうご	じょうご,じょうご	上戸,じょうご	壮語,そうご	相互,そうご	造語,ぞうご	標語,ひょうご	評語,ひょうご	病後,びょうご	反故,ほうご	防護,ぼうご	擁護,ようご	用語,ようご	養護,ようご	老後,ろうご
○うごう	糾合,きゅうごう	強豪,きょうごう	皇后,こうごう	ごうごう,ごうごう	轟々,ごうごう	集合,しゅうごう	照合,しょうごう	称号,しょうごう	相好,そうごう	総合,そうごう	調合,ちょうごう	投合,とうごう	統合,とうごう	縫合,ほうごう	融合,ゆうごう
○うごうしい	神々しい,こうごうしい
○うごき	身動き,みうごき
○うごく	中国,ちゅうごく	投獄,とうごく	東国,とうごく	入獄,にゅうごく	牢獄,ろうごく
○うごくじん	中国人,ちゅうごくじん
○うごし	中腰,ちゅうごし
○うごにち	明後日,みょうごにち
○うごねん	明後年,みょうごねん
○うごや	十五夜,じゅうごや
○うごん	黄金,おうごん	荘厳,そうごん	雑言,ぞうごん
○うごんじだい	黄金時代,おうごんじだい
○うさ	教唆,きょうさ	較差,こうさ	交叉,こうさ	公差,こうさ	考査,こうさ	少佐,しょうさ	捜査,そうさ	操作,そうさ	造作,ぞうさ	中佐,ちゅうさ	調査,ちょうさ	踏査,とうさ	動作,どうさ	封鎖,ふうさ
○うさい	救済,きゅうさい	共催,きょうさい	共済,きょうさい	交際,こうさい	光彩,こうさい	公債,こうさい	秀才,しゅうさい	商才,しょうさい	詳細,しょうさい	城塞,じょうさい	相殺,そうさい	総裁,そうさい	葬祭,そうさい	仲裁,ちゅうさい	搭載,とうさい	当歳,とうさい	風采,ふうさい	洋裁,ようさい	要塞,ようさい	良妻,りょうさい	老妻,ろうさい
○うさいかん	毛細管,もうさいかん
○うさいひ	交際費,こうさいひ
○うさく	窮策,きゅうさく	旧作,きゅうさく	凶作,きょうさく	狭窄,きょうさく	交錯,こうさく	工作,こうさく	耕作,こうさく	習作,しゅうさく	創作,そうさく	捜索,そうさく	造作,ぞうさく	農作,のうさく	方策,ほうさく	豊作,ほうさく	労作,ろうさく
○うさくぶつ	農作物,のうさくぶつ
○うさし	状差し,じょうさし
○うさつ	絞殺,こうさつ	考察,こうさつ	銃殺,じゅうさつ	蕭殺,しょうさつ	駐剳,ちゅうさつ	入札,にゅうさつ	悩殺,のうさつ	標札,ひょうさつ	封殺,ふうさつ	忙殺,ぼうさつ
○うさま	王様,おうさま	とうさま,とうさま
○うさん	共産,きょうさん	協賛,きょうさん	公算,こうさん	恒産,こうさん	降参,こうさん	集散,しゅうさん	勝算,しょうさん	硝酸,しょうさん	称賛,しょうさん	賞賛,しょうさん	増産,ぞうさん	昼餐,ちゅうさん	通産,つうさん	通算,つうさん	とうさん,とうさん	倒産,とうさん	動産,どうさん	放散,ほうさん	硼酸,ほうさん	有産,ゆうさん	養蚕,ようさん	硫酸,りゅうさん	量産,りょうさん
○うさんしゅぎ	共産主義,きょうさんしゅぎ
○うさんち	集散地,しゅうさんち
○うさんぶつ	農産物,のうさんぶつ
○うざ	王座,おうざ	口座,こうざ	講座,こうざ	上座,じょうざ	中座,ちゅうざ	長座,ちょうざ	当座,とうざ
○うざい	教材,きょうざい	功罪,こうざい	鋼材,こうざい	重罪,じゅうざい	浄財,じょうざい	錠剤,じょうざい	駐在,ちゅうざい	調剤,ちょうざい	東西,とうざい	乳剤,にゅうざい	有罪,ゆうざい	用材,ようざい
○うざつぶつ	夾雑物,きょうざつぶつ
○うざめ	興ざめ,きょうざめ
○うざん	鉱山,こうざん	高山,こうざん	早産,そうざん	当山,とうざん	銅山,どうざん	氷山,ひょうざん	流産,りゅうざん
○うし	横死,おうし	雄うし,おうし	臼歯,きゅうし	休止,きゅうし	急使,きゅうし	急死,きゅうし	旧師,きゅうし	教師,きょうし	凝視,ぎょうし	こうし,こうし	格子,こうし	公使,こうし	公司,こうし	公私,こうし	厚志,こうし	孝子,こうし	行使,こうし	講師,こうし	嚆矢,こうし	合資,ごうし	合祀,ごうし	収支,しゅうし	宗旨,しゅうし	終始,しゅうし	終止,しゅうし	重視,じゅうし	将士,しょうし	抄紙,しょうし	焼死,しょうし	笑止,しょうし	上梓,じょうし	上司,じょうし	城址,じょうし	情死,じょうし	数詞,すうし	創始,そうし	壮士,そうし	相思,そうし	草紙,そうし	曹司,ぞうし	増資,ぞうし	中止,ちゅうし	注視,ちゅうし	調子,ちょうし	銚子,ちょうし	長子,ちょうし	凍死,とうし	唐詩,とうし	投資,とうし	透視,とうし	闘士,とうし	闘志,とうし	動詞,どうし	同士,どうし	同志,どうし	同氏,どうし	乳歯,にゅうし	入試,にゅうし	農試,のうし	拍子,ひょうし	表紙,ひょうし	病死,びょうし	風刺,ふうし	風姿,ふうし	奉仕,ほうし	放恣,ほうし	法師,ほうし	胞子,ほうし	芳志,ほうし	帽子,ぼうし	防止,ぼうし	雌うし,めうし	勇士,ゆうし	勇姿,ゆうし	有志,ゆうし	遊資,ゆうし	融資,ゆうし	容姿,ようし	洋紙,ようし	用紙,ようし	要旨,ようし	養子,ようし	粒子,りゅうし	漁師,りょうし	両氏,りょうし	猟師,りょうし	労使,ろうし	労資,ろうし
○うしあげる	申し上げる,もうしあげる
○うしあわせ	申し合わせ,もうしあわせ
○うしあわせる	申し合わせる,もうしあわせる
○うしいらい	有史以来,ゆうしいらい
○うしいれ	申し入れ,もうしいれ
○うしいれる	申し入れる,もうしいれる
○うしうける	申し受ける,もうしうける
○うしうち	同士討ち,どうしうち
○うしえん	甲子園,こうしえん
○うしおくり	申し送り,もうしおくり
○うしおくる	申し送る,もうしおくる
○うしかく	聴視覚,ちょうしかく
○うしき	旧式,きゅうしき	旧識,きゅうしき	公式,こうしき	常識,じょうしき	定式,じょうしき	葬式,そうしき	等式,とうしき	標識,ひょうしき	方式,ほうしき	法式,ほうしき	有識,ゆうしき	様式,ようしき	良識,りょうしき
○うしきかせる	申し聞かせる,もうしきかせる
○うしぎ	拍子木,ひょうしぎ
○うしこみ	申し込み,もうしこみ
○うしこむ	申し込む,もうしこむ
○うしそえる	申し添える,もうしそえる
○うしたて	申し立て,もうしたて
○うしたてる	申し立てる,もうしたてる
○うしつ	王室,おうしつ	教室,きょうしつ	皇室,こうしつ	硬質,こうしつ	消失,しょうしつ	焼失,しょうしつ	喪失,そうしつ	等質,とうしつ	同室,どうしつ	同質,どうしつ	病室,びょうしつ	亡失,ぼうしつ	洋室,ようしつ	流失,りゅうしつ	良質,りょうしつ
○うしつけ	申し付け,もうしつけ
○うしつける	申し付ける,もうしつける
○うして	こうして,こうして	そうして,そうして	どうして,どうして
○うしても	どうしても,どうしても
○うしで	申し出,もうしで
○うしでる	申し出る,もうしでる
○うしなう	見失う,みうしなう
○うしぬけ	拍子抜け,ひょうしぬけ
○うしのべる	申し述べる,もうしのべる
○うしひらき	申し開き,もうしひらき
○うしひらく	申し開く,もうしひらく
○うしふ	休止符,きゅうしふ	終止符,しゅうしふ
○うしぶん	申し分,もうしぶん
○うしゃ	廐舎,きゅうしゃ	強者,きょうしゃ	業者,ぎょうしゃ	空車,くうしゃ	後者,こうしゃ	公舎,こうしゃ	公社,こうしゃ	巧者,こうしゃ	校舎,こうしゃ	豪奢,ごうしゃ	従者,じゅうしゃ	勝者,しょうしゃ	商社,しょうしゃ	瀟洒,しょうしゃ	乗車,じょうしゃ	壮者,そうしゃ	奏者,そうしゃ	走者,そうしゃ	注射,ちゅうしゃ	駐車,ちゅうしゃ	投射,とうしゃ	当社,とうしゃ	謄写,とうしゃ	同社,どうしゃ	同車,どうしゃ	入社,にゅうしゃ	描写,びょうしゃ	風車,ふうしゃ	放射,ほうしゃ	防砂,ぼうしゃ	勇者,ゆうしゃ	容赦,ようしゃ	両者,りょうしゃ
○うしゃく	公爵,こうしゃく	講釈,こうしゃく	注釈,ちゅうしゃく	評釈,ひょうしゃく	用尺,ようしゃく
○うしゃけん	乗車券,じょうしゃけん
○うしゃのう	放射能,ほうしゃのう
○うしゃばん	謄写版,とうしゃばん
○うしゃほう	高射砲,こうしゃほう
○うしゃりん	後車輪,こうしゃりん
○うしゅ	興趣,きょうしゅ	業種,ぎょうしゅ	好手,こうしゅ	工手,こうしゅ	攻守,こうしゅ	城主,じょうしゅ	情趣,じょうしゅ	双手,そうしゅ	聴取,ちょうしゅ	党首,とうしゅ	投手,とうしゅ	同種,どうしゅ	入手,にゅうしゅ	膿腫,のうしゅ	妙手,みょうしゅ	洋酒,ようしゅ	領主,りょうしゅ
○うしゅう	奥州,おうしゅう	応酬,おうしゅう	欧州,おうしゅう	吸収,きゅうしゅう	急襲,きゅうしゅう	旧習,きゅうしゅう	九州,きゅうしゅう	強襲,きょうしゅう	教習,きょうしゅう	郷愁,きょうしゅう	凝集,ぎょうしゅう	空襲,くうしゅう	公衆,こうしゅう	口臭,こうしゅう	講習,こうしゅう	しゅうしゅう,しゅうしゅう	収拾,しゅうしゅう	収集,しゅうしゅう	召集,しょうしゅう	招集,しょうしゅう	常習,じょうしゅう	増収,ぞうしゅう	仲秋,ちゅうしゅう	徴収,ちょうしゅう	徴集,ちょうしゅう	聴衆,ちょうしゅう	踏襲,とうしゅう	風習,ふうしゅう	報酬,ほうしゅう	防臭,ぼうしゅう	妄執,もうしゅう	優秀,ゆうしゅう	幽囚,ゆうしゅう	憂愁,ゆうしゅう	有終,ゆうしゅう	領収,りょうしゅう	領袖,りょうしゅう
○うしゅうきょう	収集狂,しゅうしゅうきょう
○うしゅく	恐縮,きょうしゅく	収縮,しゅうしゅく	同宿,どうしゅく	濃縮,のうしゅく	奉祝,ほうしゅく
○うしゅけい	絞首刑,こうしゅけい
○うしゅっけつ	脳出血,のうしゅっけつ
○うしゅつ	供出,きょうしゅつ	抽出,ちゅうしゅつ	表出,ひょうしゅつ	放出,ほうしゅつ	湧出,ゆうしゅつ	流出,りゅうしゅつ
○うしゅん	早春,そうしゅん	明春,みょうしゅん	陽春,ようしゅん
○うしょ	急所,きゅうしょ	教書,きょうしょ	行書,ぎょうしょ	高所,こうしょ	住所,じゅうしょ	証書,しょうしょ	詔書,しょうしょ	情緒,じょうしょ	浄書,じょうしょ	叢書,そうしょ	草書,そうしょ	蔵書,ぞうしょ	調書,ちょうしょ	長所,ちょうしょ	投書,とうしょ	当初,とうしょ	入所,にゅうしょ	能書,のうしょ	封書,ふうしょ	奉書,ほうしょ	洋書,ようしょ	要所,ようしょ	良書,りょうしょ
○うしょう	応召,おうしょう	協商,きょうしょう	狭小,きょうしょう	行商,ぎょうしょう	空将,くうしょう	交渉,こうしょう	公娼,こうしょう	公称,こうしょう	工廠,こうしょう	考証,こうしょう	高唱,こうしょう	高尚,こうしょう	哄笑,こうしょう	豪商,ごうしょう	周章,しゅうしょう	就床,しゅうしょう	愁傷,しゅうしょう	重傷,じゅうしょう	重唱,じゅうしょう	重症,じゅうしょう	少々,しょうしょう	少将,しょうしょう	上昇,じょうしょう	常勝,じょうしょう	宗匠,そうしょう	総称,そうしょう	蔵相,ぞうしょう	中傷,ちゅうしょう	抽象,ちゅうしょう	嘲笑,ちょうしょう	通商,つうしょう	通称,つうしょう	凍傷,とうしょう	入賞,にゅうしょう	脳漿,のうしょう	農相,のうしょう	表彰,ひょうしょう	表象,ひょうしょう	病床,びょうしょう	報償,ほうしょう	報奨,ほうしょう	放縦,ほうしょう	褒章,ほうしょう	傍証,ぼうしょう	帽章,ぼうしょう	優勝,ゆうしょう	勇将,ゆうしょう	有償,ゆうしょう	幼少,ようしょう	要衝,ようしょう	隆昌,りゅうしょう	了承,りょうしょう
○うしょうか	抽象化,ちゅうしょうか
○うしょうきぎょう	中小企業,ちゅうしょうきぎょう
○うしょうてき	抽象的,ちゅうしょうてき
○うしょうにん	公証人,こうしょうにん
○うしょく	黄色,おうしょく	休職,きゅうしょく	求職,きゅうしょく	給食,きゅうしょく	教職,きょうしょく	黄色,こうしょく	公職,こうしょく	好色,こうしょく	降職,こうしょく	就職,しゅうしょく	修飾,しゅうしょく	秋色,しゅうしょく	住職,じゅうしょく	小食,しょうしょく	常食,じょうしょく	草食,そうしょく	装飾,そうしょく	増殖,ぞうしょく	昼食,ちゅうしょく	朝食,ちょうしょく	同色,どうしょく	入植,にゅうしょく	奉職,ほうしょく	暴食,ぼうしょく	憂色,ゆうしょく	有色,ゆうしょく	夕食,ゆうしょく	容色,ようしょく	洋食,ようしょく	要職,ようしょく	養殖,ようしょく	糧食,りょうしょく
○うしょくご	修飾語,しゅうしょくご
○うしょくじんしゅ	有色人種,ゆうしょくじんしゅ
○うしょくぶつ	動植物,どうしょくぶつ
○うしわけ	申し訳,もうしわけ
○うしわけない	申訳ない,もうしわけない
○うしわたし	申し渡し,もうしわたし
○うしわたす	申し渡す,もうしわたす
○うしん	往診,おうしん	休診,きゅうしん	急進,きゅうしん	求心,きゅうしん	球審,きゅうしん	強震,きょうしん	後身,こうしん	後進,こうしん	功臣,こうしん	孝心,こうしん	昂進,こうしん	更新,こうしん	行進,こうしん	執心,しゅうしん	就寝,しゅうしん	修身,しゅうしん	終身,しゅうしん	重心,じゅうしん	重臣,じゅうしん	傷心,しょうしん	小心,しょうしん	昇進,しょうしん	上申,じょうしん	喪神,そうしん	送信,そうしん	増進,ぞうしん	中心,ちゅうしん	忠臣,ちゅうしん	注進,ちゅうしん	衷心,ちゅうしん	調進,ちょうしん	長身,ちょうしん	長針,ちょうしん	痛心,つうしん	通信,つうしん	投身,とうしん	東進,とうしん	燈心,とうしん	答申,とうしん	頭身,とうしん	同心,どうしん	童心,どうしん	道心,どうしん	入神,にゅうしん	病身,びょうしん	秒針,びょうしん	放心,ほうしん	方針,ほうしん	妄信,もうしん	猛進,もうしん	盲進,もうしん	両親,りょうしん	良心,りょうしん	老臣,ろうしん
○うしんえつ	甲信越,こうしんえつ
○うしんかい	共進会,きょうしんかい
○うしんき	聴診器,ちょうしんき
○うしんぐ	装身具,そうしんぐ
○うしんざい	強心剤,きょうしんざい
○うしんしょうめい	正真正銘,しょうしんしょうめい
○うしんてき	中心的,ちゅうしんてき
○うしんぼ	通信簿,つうしんぼ
○うしんりょく	求心力,きゅうしんりょく
○うじ	往時,おうじ	王子,おうじ	給仕,きゅうじ	教示,きょうじ	矜持,きょうじ	行司,ぎょうじ	行事,ぎょうじ	後事,こうじ	公示,こうじ	工事,こうじ	講師,こうじ	麹,こうじ	小路,こうじ	修辞,しゅうじ	習字,しゅうじ	住持,じゅうじ	十字,じゅうじ	従事,じゅうじ	商事,しょうじ	小事,しょうじ	障子,しょうじ	生死,しょうじ	常時,じょうじ	情事,じょうじ	数字,すうじ	掃除,そうじ	相似,そうじ	寵児,ちょうじ	弔辞,ちょうじ	通じ,つうじ	冬至,とうじ	湯治,とうじ	当事,とうじ	当時,とうじ	答辞,とうじ	同時,どうじ	乳児,にゅうじ	農事,のうじ	表示,ひょうじ	封じ,ふうじ	法事,ほうじ	苗字,みょうじ	有事,ゆうじ	幼児,ようじ	幼時,ようじ	楊子,ようじ	用事,ようじ	療治,りょうじ	領事,りょうじ
○うじえん	中耳炎,ちゅうじえん
○うじか	十字架,じゅうじか
○うじかる	ミュージカル,みゅうじかる
○うじかん	長時間,ちょうじかん
○うじき	正直,しょうじき	中食,ちゅうじき
○うじく	枢軸,すうじく	中軸,ちゅうじく
○うじけい	相似形,そうじけい
○うじこめ	封じ込め,ふうじこめ
○うじこめる	封じ込める,ふうじこめる
○うじしゃ	当事者,とうじしゃ
○うじっく	ミュージック,みゅうじっく
○うじつ	休日,きゅうじつ	口実,こうじつ	終日,しゅうじつ	週日,しゅうじつ	充実,じゅうじつ	情実,じょうじつ	忠実,ちゅうじつ	当日,とうじつ	同日,どうじつ	両日,りょうじつ
○うじて	総じて,そうじて
○うじば	工事場,こうじば
○うじゃ	王者,おうじゃ	行者,ぎょうじゃ	長者,ちょうじゃ	風邪,ふうじゃ	亡者,もうじゃ
○うじゃく	強弱,きょうじゃく	執着,しゅうじゃく	柔弱,にゅうじゃく	病弱,びょうじゃく	幼弱,ようじゃく
○うじゃくぶじん	傍若無人,ぼうじゃくぶじん
○うじゅ	享受,きょうじゅ	教授,きょうじゅ	口授,こうじゅ	成就,じょうじゅ	長寿,ちょうじゅ	傍受,ぼうじゅ
○うじゅう	九十,きゅうじゅう	主従,しゅうじゅう	じゅうじゅう,じゅうじゅう	重々,じゅうじゅう	小銃,しょうじゅう	常住,じょうじゅう	数十,すうじゅう	操縦,そうじゅう	鳥獣,ちょうじゅう	放縦,ほうじゅう	猛獣,もうじゅう	盲従,もうじゅう	優柔,ゆうじゅう	猟銃,りょうじゅう
○うじゅうふだん	優柔不断,ゆうじゅうふだん
○うじゅく	習熟,しゅうじゅく	早熟,そうじゅく	老熟,ろうじゅく
○うじゅつ	救恤,きゅうじゅつ	供述,きょうじゅつ	後述,こうじゅつ	口述,こうじゅつ	詳述,しょうじゅつ
○うじゅん	恭順,きょうじゅん	従順,じゅうじゅん	柔順,じゅうじゅん	照準,しょうじゅん	上旬,じょうじゅん	中旬,ちゅうじゅん	標準,ひょうじゅん	芳醇,ほうじゅん
○うじゅんご	標準語,ひょうじゅんご
○うじゅんへんさ	標準偏差,ひょうじゅんへんさ
○うじょ	王女,おうじょ	救助,きゅうじょ	公序,こうじょ	控除,こうじょ	少女,しょうじょ	乗除,じょうじょ	長女,ちょうじょ	幇助,ほうじょ	防除,ぼうじょ	宥恕,ゆうじょ	遊女,ゆうじょ	幼女,ようじょ	養女,ようじょ	老女,ろうじょ
○うじょう	往生,おうじょう	休場,きゅうじょう	宮城,きゅうじょう	球場,きゅうじょう	球状,きゅうじょう	窮状,きゅうじょう	兇状,きょうじょう	教場,きょうじょう	教条,きょうじょう	行状,ぎょうじょう	交情,こうじょう	厚情,こうじょう	口上,こうじょう	向上,こうじょう	工場,こうじょう	強情,ごうじょう	小乗,しょうじょう	症状,しょうじょう	賞状,しょうじょう	清浄,しょうじょう	猩々,しょうじょう	蕭条,しょうじょう	上乗,じょうじょう	情状,じょうじょう	僧正,そうじょう	奏上,そうじょう	騒擾,そうじょう	中将,ちゅうじょう	衷情,ちゅうじょう	長上,ちょうじょう	頂上,ちょうじょう	通常,つうじょう	登場,とうじょう	搭乗,とうじょう	同上,どうじょう	同乗,どうじょう	同情,どうじょう	道場,どうじょう	乳状,にゅうじょう	入城,にゅうじょう	入場,にゅうじょう	農場,のうじょう	表情,ひょうじょう	評定,ひょうじょう	病状,びょうじょう	方丈,ほうじょう	法帖,ほうじょう	豊饒,ほうじょう	明星,みょうじょう	友情,ゆうじょう	洋上,ようじょう	養生,ようじょう	篭城,ろうじょう
○うじょうけん	入場券,にゅうじょうけん
○うじょうもち	兇状持ち,きょうじょうもち
○うじょく	凌辱,りょうじょく
○うじり	帳尻,ちょうじり
○うじる	牛耳る,ぎゅうじる	昂じる,こうじる
○うじろ	十字路,じゅうじろ
○うじん	求人,きゅうじん	兇刃,きょうじん	強靭,きょうじん	狂人,きょうじん	黄塵,こうじん	公人,こうじん	幸甚,こうじん	荒神,こうじん	囚人,しゅうじん	小人,しょうじん	精進,しょうじん	常人,じょうじん	情人,じょうじん	超人,ちょうじん	通人,つうじん	蕩尽,とうじん	同人,どうじん	法人,ほうじん	邦人,ほうじん	明神,みょうじん	盲人,もうじん	友人,ゆうじん	用心,ようじん	要人,ようじん	老人,ろうじん
○うじんぶつ	好人物,こうじんぶつ
○うす	急須,きゅうす	ジュース,じゅうす	手薄,てうす	ニュース,にゅうす	申す,もうす	様子,ようす
○うすい	給水,きゅうすい	硬水,こうすい	香水,こうすい	重水,じゅうすい	将帥,しょうすい	憔悴,しょうすい	上水,じょうすい	総帥,そうすい	雑炊,ぞうすい	増水,ぞうすい	注水,ちゅうすい	通水,つうすい	統帥,とうすい	陶酔,とうすい	放水,ほうすい	防水,ぼうすい	幽邃,ゆうすい	用水,ようすい	流水,りゅうすい	漏水,ろうすい	老衰,ろうすい
○うすいがい	風水害,ふうすいがい
○うすいち	浄水池,じょうすいち
○うすいりょう	降水量,こうすいりょう
○うすう	級数,きゅうすう	偶数,ぐうすう	小数,しょうすう	少数,しょうすう	乗数,じょうすう	常数,じょうすう	すうすう,すうすう	総数,そうすう	中数,ちゅうすう	中枢,ちゅうすう	同数,どうすう	有数,ゆうすう
○うすうてん	小数点,しょうすうてん
○うすずみ	夕涼み,ゆうすずみ
○うする	窮する,きゅうする	給する,きゅうする	供する,きょうする	遇する,ぐうする	抗する,こうする	号する,ごうする	称する,しょうする	証する,しょうする	奏する,そうする	蔵する,ぞうする	沖する,ちゅうする	誅する,ちゅうする	弔する,ちょうする	徴する,ちょうする	表する,ひょうする	評する,ひょうする	諷する,ふうする	有する,ゆうする	擁する,ようする	要する,ようする	領する,りょうする	労する,ろうする
○うするに	要するに,ようするに
○うすん	同寸,どうすん
○うず	構図,こうず	上手,じょうず	手水,ちょうず	ヒューズ,ひゅうず	坊主,ぼうず	竜頭,りゅうず	ルーズ,るうず
○うずい	行水,ぎょうずい	洪水,こうずい	香水,こうずい	脳髄,のうずい
○うずう	融通,ゆうずう
○うずうしい	図々しい,ずうずうしい
○うずうべん	ずうずう弁,ずうずうべん
○うずば	手水場,ちょうずば
○うずる	応ずる,おうずる	興ずる,きょうずる	講ずる,こうずる	薨ずる,こうずる	生ずる,しょうずる	乗ずる,じょうずる	長ずる,ちょうずる	通ずる,つうずる	投ずる,とうずる	動ずる,どうずる	封ずる,ふうずる	報ずる,ほうずる	奉ずる,ほうずる	崩ずる,ほうずる	焙ずる,ほうずる
○うせ	逢瀬,おうせ	どうせ,どうせ
